good.names,genus,family,order,vol_mean,shape_median,color_most,investment_mean,orn_height_mean
Acaulospora_alpina,Acaulospora,Acaulosporaceae,Diversisporales,160433.2828,0.815384615,4,0.271225895,-2.15
Acaulospora_aspera,Acaulospora,Acaulosporaceae,Diversisporales,2006340.187,0.850854701,2,0.499917548,-0.8
Acaulospora_baetica,Acaulospora,Acaulosporaceae,Diversisporales,258151.0497,0.879868659,5,0.620045319,-0.95
Acaulospora_bireticulata,Acaulospora,Acaulosporaceae,Diversisporales,1847336.929,0.991935484,1,0.113667359,12
Acaulospora_brasiliensis_morphA,Acaulospora,Acaulosporaceae,Diversisporales,247120.0671,0.913157895,0,0.62424903,9.6
Acaulospora_brasiliensis_morphG,Acaulospora,Acaulosporaceae,Diversisporales,10650.59905,0.958333333,1,0.411608771,0
Acaulospora_capsicula,Acaulospora,Acaulosporaceae,Diversisporales,9182820.872,0.785234899,4,0.293724516,0
Acaulospora_cavernata,Acaulospora,Acaulosporaceae,Diversisporales,722812.4018,0.539285714,2,0.041549623,-2.1
Acaulospora_colliculosa,Acaulospora,Acaulosporaceae,Diversisporales,275771.2525,0.890207715,0,0.238734275,0.5
Acaulospora_colombiana,Acaulospora,Acaulosporaceae,Diversisporales,459230.4874,0.75,2,0.288564442,0
Acaulospora_colossica,Acaulospora,Acaulosporaceae,Diversisporales,8052226.341,0.822580645,5,0.276785384,0
Acaulospora_delicata,Acaulospora,Acaulosporaceae,Diversisporales,542955.5678,0.756910569,1,0.298893504,0
Acaulospora_denticulata,Acaulospora,Acaulosporaceae,Diversisporales,1434108.29,0.901875419,5,0.092255384,0
Acaulospora_dilatata,Acaulospora,Acaulosporaceae,Diversisporales,480642.732,0.867924528,2,0.38411998,0
Acaulospora_elegans,Acaulospora,Acaulosporaceae,Diversisporales,5070998.237,0.872807018,5,0.630420724,2
Acaulospora_endographis,Acaulospora,Acaulosporaceae,Diversisporales,434576.5118,0.78125,4,0.715020952,0
Acaulospora_entreriana,Acaulospora,Acaulosporaceae,Diversisporales,12638539.98,0.983333333,5,0.109343846,0
Acaulospora_excavata,Acaulospora,Acaulosporaceae,Diversisporales,1435215.605,0.74375,4,0.447676471,-4
Acaulospora_fanjing,Acaulospora,Acaulosporaceae,Diversisporales,869757.7801,0.943089431,4,0.322980641,0
Acaulospora_flava,Acaulospora,Acaulosporaceae,Diversisporales,522977.0021,0.928571429,2,0.522590329,0
Acaulospora_flavopapillosa,Acaulospora,Acaulosporaceae,Diversisporales,1476402.649,0.9453125,2,0.416612618,1
Acaulospora_foveata,Acaulospora,Acaulosporaceae,Diversisporales,7094791.226,0.707142857,4,0.351293073,-1.75
Acaulospora_fragilissima,Acaulospora,Acaulosporaceae,Diversisporales,124593.3284,0.916666667,2,0.417847742,0
Acaulospora_gedanensis,Acaulospora,Acaulosporaceae,Diversisporales,123372.9615,0.923076923,2,0.396012869,0
Acaulospora_herrerae,Acaulospora,Acaulosporaceae,Diversisporales,430347.2299,0.76814059,2,0.479178194,-1.45
Acaulospora_ignota,Acaulospora,Acaulosporaceae,Diversisporales,177355.4717,0.951388889,2,0.631394359,0
Acaulospora_kentinensis,Acaulospora,Acaulosporaceae,Diversisporales,1121872.32,0.666666667,2,0.469089253,NA
