good.names,order,family,genus,color_low,color_most,color_high,orn_height_min,orn_height_mean,orn_height_max,orn_diam_min,orn_diam_mean,orn_diam_max,min_wall_thickness,mean_wall_thickness,max_wall_thickness,dim1.min2,dim1.min,dim1.max,dim1.max2,dim2.min2,dim2.min,dim2.max,dim2.max2
Acaulospora_alpina,Diversisporales,Acaulosporaceae,Acaulospora,2,4,5,-1.5,-2.15,-2.8,1.5,2.15,2.8,2.5,3.25,4,53,65,85,97,53,65,85,97
Acaulospora_aspera,Diversisporales,Acaulosporaceae,Acaulospora,2,2,5,-0.8,-0.8,-0.8,0.4,0.5,0.7,10.6,16,20.5,120,130,187,187,120,135,195,195
Acaulospora_baetica,Diversisporales,Acaulosporaceae,Acaulospora,1,5,5,-0.6,-0.95,-1.3,0.8,1.2,1.6,7.6,10.85,14.1,69,69,96,96,65,65,92,92
Acaulospora_bireticulata,Diversisporales,Acaulosporaceae,Acaulospora,1,1,3,6,12,18,3,3.5,4,3,3,3,150,150,155,155,150,150,155,155
Acaulospora_brasiliensis_morphA,Diversisporales,Acaulosporaceae,Acaulospora,0,0,1,4.2,9.6,15,2.4,6.2,10,7.9,10.6,13.3,62,62,95,95,62,62,95,95
Acaulospora_brasiliensis_morphG,Diversisporales,Acaulosporaceae,Acaulospora,0,1,1,0,0,0,0,0,0,1.9,2.2,2.5,25,25,30,30,25,25,30,30
Acaulospora_capsicula,Diversisporales,Acaulosporaceae,Acaulospora,2,4,4,0,0,0,0,0,0,6.6,12.7,20.9,170,298,298,330,170,298,298,330
Acaulospora_cavernata,Diversisporales,Acaulosporaceae,Acaulospora,2,2,4,-1.7,-2.1,-2.5,2,3.5,5,9.3,11.4,15.7,11,140,140,170,11,140,140,170
Acaulospora_colliculosa,Diversisporales,Acaulosporaceae,Acaulospora,0,0,1,0,0.5,1,0.5,1.75,3,3,3.5,4,75,84.25,84.72,99.6,75,84.25,84.72,99.6
Acaulospora_colombiana,Diversisporales,Acaulosporaceae,Acaulospora,0,2,5,0,0,0,0,0,0,3,5,7,75,100,115,135,75,100,115,135
Acaulospora_colossica,Diversisporales,Acaulosporaceae,Acaulospora,4,5,5,0,0,0,0,0,0,7.2,12.25,17.3,180,279,279,380,180,279,279,380
Acaulospora_delicata,Diversisporales,Acaulosporaceae,Acaulospora,0,1,2,0,0,0,0,0,0,4.75,5.375,6,80,80,125,150,80,80,110,140
Acaulospora_denticulata,Diversisporales,Acaulosporaceae,Acaulospora,4,5,5,0,0,0,0,0,0,1.3,2.2,3.1,120,149.3,149.3,180,120,149.3,149.3,180
Acaulospora_dilatata,Diversisporales,Acaulosporaceae,Acaulospora,2,2,5,0,0,0,0,0,0,4.4,7.2,10,78,106,106,130,78,106,106,130
Acaulospora_elegans,Diversisporales,Acaulosporaceae,Acaulospora,5,5,6,2,2,2,0.5,0.5,0.5,27,27,27,140,140,285,285,140,140,285,285
Acaulospora_endographis,Diversisporales,Acaulosporaceae,Acaulospora,2,4,5,0,0,0,0,0,0,10.3,16.35,22.4,68,74,110,128,68,74,100,180
Acaulospora_entreriana,Diversisporales,Acaulosporaceae,Acaulospora,5,5,5,0,0,0,0,0,0,2.8,5.5,8.2,280,280,300,300,280,280,300,300
Acaulospora_excavata,Diversisporales,Acaulosporaceae,Acaulospora,4,4,5,-2,-4,-6,4,12,20,9.5,11.75,14,115,115,200,200,100,100,165,165
Acaulospora_fanjing,Diversisporales,Acaulosporaceae,Acaulospora,4,4,5,0,0,0,0,0,0,4.7,7.6,9.5,109,123,123,138,109,123,123,138
Acaulospora_flava,Diversisporales,Acaulosporaceae,Acaulospora,2,2,5,0,0,0,0,0,0,7.7,11.1,14.5,95,100,100,150,95,105,105,160
Acaulospora_flavopapillosa,Diversisporales,Acaulosporaceae,Acaulospora,2,2,5,1,1,1,1,1,1,8.6,12.2,13.8,125,125,160,160,125,125,160,160
Acaulospora_foveata,Diversisporales,Acaulosporaceae,Acaulospora,2,4,5,-0.5,-1.75,-3,8,10,12,5.9,15.95,26,185,185,310,410,215,215,350,480
Acaulospora_fragilissima,Diversisporales,Acaulosporaceae,Acaulospora,1,2,4,0,0,0,0,0,0,3.9,4.95,6,50,50,75,75,50,50,75,75
Acaulospora_gedanensis,Diversisporales,Acaulosporaceae,Acaulospora,1,2,5,0,0,0,0,0,0,3.3,4.8,6.3,55,65,65,75,55,65,65,75
Acaulospora_herrerae,Diversisporales,Acaulosporaceae,Acaulospora,2,2,5,-0.6,-1.45,-2.3,0.5,1.2,1.9,6.2,9.15,12.1,79,79,92,92,70,70,126,126
Acaulospora_ignota,Diversisporales,Acaulosporaceae,Acaulospora,1,2,4,0,0,0,0,0,0,7.5,9.7,12.9,65,72,72,80,65,72,72,80
Acaulospora_kentinensis,Diversisporales,Acaulosporaceae,Acaulospora,1,2,5,NA,NA,NA,1,2,3,5.5,11.75,18,85,85,140,140,95,95,210,210
Acaulospora_koreana,Diversisporales,Acaulosporaceae,Acaulospora,5,5,5,0,0,0,0,0,0,3.3,8.15,13,96,127,127,153,99,132,132,158
Acaulospora_koskei,Diversisporales,Acaulosporaceae,Acaulospora,1,2,4,0,0,0,0,0,0,4.1,6.35,8.6,80,183,183,340,80,183,183,340
Acaulospora_lacunosa,Diversisporales,Acaulosporaceae,Acaulospora,2,2,4,-0.2,-1.1,-2,0.2,3.1,6,4.6,8.9,13.2,98,131,131,186,98,131,131,186
