term,df,SumOfSqs,R2,statistic,p.value,component
genus,9,5.39678102320747,0.15489793155481119,1.3346141073072766,0.001,Epispore
trait_orn_height_mean,1,0.5371446701924754,0.015417078810630685,1.195514078260591,0.036,Epispore
trait_shape_median,1,0.5764008225288499,0.016543805422578904,1.282885852348308,0.028,Epispore
trait_vol_mean,1,0.5686545783570089,0.016321473407554223,1.2656451638057566,0.036,Epispore
trait_investment_mean,1,0.5310546712519333,0.015242284199731258,1.181959667551459,0.065,Epispore
Residual,60,26.958009778052574,0.7737464120737939,NA,NA,Epispore
Total,73,34.840885020454905,1,NA,NA,Epispore
genus,9,6.3869206955897155,0.18778760917428183,1.6989467221478833,0.001,Endospore
trait_orn_height_mean,1,0.7202699642192449,0.02117730608964277,1.7243524975269569,0.009,Endospore
trait_shape_median,1,0.5899227427900371,0.017344850006133877,1.4122965074360843,0.035,Endospore
trait_vol_mean,1,0.5199429103411575,0.015287309909375471,1.244762242710015,0.121,Endospore
trait_investment_mean,1,0.5429697081575711,0.015964341536192098,1.2998892343898938,0.108,Endospore
Residual,61,25.479980387065307,0.7491598575818538,NA,NA,Endospore
Total,74,34.011406416395374,1,NA,NA,Endospore
