genus,mean_distance,sd_distance,n,component
Acaulospora,0.6842039645674677,0.016990828995704133,27,Epispore
Archaeospora,0.5678533810509198,0.018220258943729525,3,Epispore
Cetraspora,0.5919379838273539,0.02799672514957297,6,Epispore
Gigaspora,0.6640542431637871,0.03983081836980617,16,Epispore
Funneliformis,0.49873461113639483,0.1954932648216324,3,Epispore
Septoglomus,0.49999999999999933,0,2,Epispore
Dentiscutata,0.6147764588626091,0.0625554795566698,5,Epispore
Racocetra,0.6403955906863544,0.024332854713571165,7,Epispore
Entrophospora,0.5664641392031466,0.036700188115556885,3,Epispore
Rhizophagus,0.5000000000000002,1.1102230246251565e-16,2,Epispore
Acaulospora,0.6589494799517687,0.06883427301485419,25,Endospore
Archaeospora,0.46499999999999925,0,2,Endospore
Cetraspora,0.5956130848517691,0.05748546720076691,6,Endospore
Gigaspora,0.6575683452760281,0.05659845549862347,18,Endospore
Funneliformis,0.5209979874965494,0.07929314153407989,3,Endospore
Septoglomus,0.5287570259146092,0.15112727566615186,3,Endospore
Dentiscutata,0.6123724356957955,1.6679016631577192e-8,4,Endospore
Racocetra,0.6166812662621688,0.05981013071438617,8,Endospore
Entrophospora,0.5055141204345903,0.13231127337678789,3,Endospore
Rhizophagus,0.5773502691916498,9.3416158401322e-7,3,Endospore
